Input sentence,Output sentence
ഇന്നത്തെ കാലഘട്ടത്തിൽ നമുക്ക് ഒഴിച്ചുകൂടാൻ പറ്റാത്ത ഒന്നാണ് സാമൂഹ്യമാധ്യമങ്ങൾ.,ഇന്നത്തെ കാലഘട്ടത്തിൽ നമുക്ക് ഒഴിച്ചുകൂടാൻ പറ്റാത്ത ഒന്നാണ് സമൂഹമാധ്യമങ്ങൾ.
വൃദ്ധർ മുതൽ ഒരു വയസുള്ള കുട്ടി വരെ ഇന്ന് ഏതെങ്കിലും രീതിയിലുള്ള സാമൂഹ്യമാധ്യമം ഉപയോഗിക്കുകയോ അതോ അതിന്റെ ഏതെങ്കിലും പ്രത്യാഘാതം അനുഭവിക്കുകയോ ചെയ്തിട്ടുണ്ടാവാം.,വൃദ്ധർ മുതൽ ഒരു വയസുള്ള കുട്ടി വരെ ഇന്ന് ഏതെങ്കിലും രീതിയിലുള്ള സമൂഹമാധ്യമം ഉപയോഗിക്കുകയോ അതോ അതിന്റെ ഏതെങ്കിലും പ്രത്യാഘാതം അനുഭവിക്കുകയോ ചെയ്തിട്ടുണ്ടാവാം.
"ഇൻസ്റ്റയിൽ റീൽ കാണുന്നതു മുതൽ യൂട്യൂബിൽ വാർത്ത കേൾക്കുന്നതോ, എന്തിനു മറ്റുള്ളവരുടെ ജീവിതം ആസ്വദിക്കാൻ വരെ ആളുകൾ ഇന്ന് ഇവയെ ഉപയോഗിക്കുന്നു. ","ഇൻസ്റ്റയിൽ റീൽ കാണുന്നതു മുതൽ യൂട്യൂബിൽ വാർത്ത കേൾക്കുന്നതോ, എന്തിനു മറ്റുള്ളവരുടെ  ജീവിതത്തെക്കുറിച്ച് അറിയാൻ വരെ ആളുകൾ ഇന്ന് ഇവയെ ഉപയോഗിക്കുന്നു. "
" ഈ പറയുന്നവയൊക്കെ പലർക്കും സന്തോഷം നൽക്കുന്നതാണെങ്കിലും, ഇതിന് നമ്മൾ കൊടുക്കുന്ന വില പലരും അറിയുന്നില്ല എന്നതാണ് സത്യം."," ഈ പറയുന്നവയൊക്കെ പലർക്കും സന്തോഷം നൽക്കുന്നതാണെങ്കിലും, ഇതിന് നമ്മൾ കൊടുക്കുന്ന വില എന്താണെന്ന് പലരും അറിയുന്നില്ല എന്നതാണ് സത്യം."
നമ്മുടെ വിലപ്പെട്ട സമയം 1. . 2. പിന്നെ ശ്രദ്ധചെലുത്താൻ പറ്റുന്ന സമയം. നമ്മുടെ സ്വകാര്യത 3. . ഇതൊക്കെ പലപ്പോഴും നമ്മൾ ചെറിയ ഒരു സന്തോഷത്തിന് വേണ്ടി കളഞ്ഞേക്കാം.,"നമ്മുടെ വിലപ്പെട്ട സമയം1. , നമ്മുടെ സ്വകാര്യത 3. , ഇതൊക്കെ പലപ്പോഴും നമ്മൾ ചെറിയ ഒരു സന്തോഷത്തിന് വേണ്ടി കളഞ്ഞേക്കാം."
ഈ വൻകിട കമ്പനികൾ നമുക്ക് ഇങ്ങനെയൊരു ഉൽപ്പനം 1. വെറുതെ തരണമെങ്കിൽ 2. ഇതിന്റെ ഉൽപ്പനം നമ്മളാണ്.,ഈ വൻകിട കമ്പനികൾ നമുക്ക് ഇങ്ങനെയൊരു ഉൽപ്പനം 1. സൗജന്യമായി  തരണമെങ്കിൽ 2. വാസ്തവത്തിൽ  ഇതിന്റെ ഉൽപ്പനം നമ്മളാണ്.
പരസ്യക്കമ്പനികൾക്ക് നമ്മൾ എന്തു ചെയ്യുന്നു എന്ന വിവരം കൊടുത്ത് കൃത്യമായ പരസ്യം നമ്മളിലേക്കെത്തിക്കാൻ ഇവയ്ക്ക് കഴിയുന്നുണ്ട്.,നമ്മൾ എന്താണ് ചെയ്യുന്നതെന്ന വിവരം പരസ്യക്കമ്പനികൾക്ക് കൊടുത്തു കൃത്യമായ പരസ്യം നമ്മളിലേക്കെത്തിക്കാൻ ഇവയ്ക്ക് കഴിയുന്നുണ്ട്
പിന്നെ 1. ഒരേ പരസ്യം വീണ്ടും വീണ്ടും കാണിച്ച് നമ്മുക്ക് ആവശ്യമില്ലാത്ത ഒരു സാധനം ആവശ്യം ഉള്ളതാണെന്ന് തോന്നിപ്പിച്ച് നമ്മളെ കൊണ്ട് 2. വെറുതെ ഒരു ഉൽപ്പനം വാങ്ങിപ്പിക്കുവാൻ അവയ്ക്ക് കഴിയുന്നുണ്ട്.,"പിന്നെ 1. ,  ഒരേ പരസ്യം വീണ്ടും വീണ്ടും കാണിച്ച് നമ്മുക്ക് ആവശ്യമില്ലാത്ത ഒരു സാധനം ആവശ്യം ഉള്ളതാണെന്ന് തോന്നിപ്പിച്ച് നമ്മളെ കൊണ്ട് 2. അത് വാങ്ങിപ്പിക്കുവാൻ അവയ്ക്ക് കഴിയുന്നുണ്ട്."
കൂടാതെ 1. ഇൻഫ്ലുവൻസേർസ് എന്ന പേരിൽ ഈ മാധ്യമങ്ങളിൽ ജനപ്രീതി ലഭിച്ച 2. ചില 3. ആൾക്കാർ ചില 4. പ്രത്യേകം പരസ്യങ്ങൾ കൊടുക്കും.,"കൂടാതെ 1., ഇൻഫ്ലുവൻസേർസ് എന്ന പേരിൽ ഈ മാധ്യമങ്ങളിൽ ജനപ്രീതി ലഭിച്ച  3. ആളുകൾക്ക് ചില 5. പ്രത്യേക പരസ്യങ്ങൾ കൊടുക്കും."
ഇവർക്കുള്ള ജനപ്രീതി കാരണം ആൾക്കാർ ഇവരെ വിശ്വസിച്ച് വാങ്ങും,ഇവർക്കുള്ള ജനപ്രീതി കാരണം ആൾക്കാർ ഇവരെ വിശ്വസിച്ച് ഉൽപന്നങ്ങൾ വാങ്ങും
