Input sentence,Output sentence
"எனக்கு சீத்தலை சாத்தனார் இயற்றிய ஐம்பெருங்காப்பியங்களில் ஒன்றான ""மணிமேகலை"" நூலில் வரும் முக்கிய கதை மாந்தரான மணிமேகலைப் பிடிக்கும்.","எனக்கு சீத்தலை சாத்தனார் இயற்றிய ஐம்பெருங்காப்பியங்களில் ஒன்றான ""மணிமேகலை"" நூலில் வரும் முக்கிய கதை மாந்தரான மணிமேகலையைப் பிடிக்கும்."
அவர் சிலப்பதிகாரத்தில் வரும் கோவலன் மற்றும் மாதவி ஆகியோருக்கு மகனாக பிறந்தார்.,அவர் சிலப்பதிகாரத்தில் வரும் கோவலன் மற்றும் மாதவி ஆகியோருக்கு மகளாக பிறந்தார்.
முப்பது கண்டங்களைக் கொண்ட மணிமேகலை காவியம் மணிமேகலையின் வாழ்க்கைக் கதையைப் பற்றி எடுத்துரைக்கிறது.,முப்பது காண்டங்களைக் கொண்ட மணிமேகலை காவியம் மணிமேகலையின் வாழ்க்கைக் கதையைப் பற்றி எடுத்துரைக்கிறது.
மணிமேகலை தனது தாயார் மாதவியால் பௌத்த துறவியாகவே வளர்க்கப்படுவார்.,மணிமேகலை தனது தாயார் மாதவியால் பௌத்த துறவியாகவே வளர்க்கப்படுகிறார்.
காவேரிப்பட்டின நகரத்தில் ஆண்டு தோறும் இந்திர விழா நடைபெற இருக்கிறது.,காவேரிப்பட்டின நகரத்தில் ஆண்டு தோறும் இந்திர விழா நடைபெறும்.
அதில் மணிமேகலை பங்கேற்க வேண்டும் என்பது மணிமேகலையால் பாட்டிக்கு விருப்பம்.,அதில் மணிமேகலை பங்கேற்க வேண்டும் என்பது மணிமேகலையின் பாட்டிக்கு விருப்பம்.
ஏனென்றால் மணிமேகலைக்கோ அதில் பங்குபெற சிறிதும் விருப்பமில்லை. ,ஆனால் மணிமேகலைக்கோ அதில் பங்குபெற சிறிதும் விருப்பமில்லை. 
காவேரிப்பட்டினத்தை ஆட்சி செய்யும் அரசனின் மகளான இளவரசன் உதயகுமாரனுக்கு மணிமேகலை மீது விருப்பம். ,காவேரிப்பட்டினத்தை ஆட்சி செய்யும் அரசனின் மகனான இளவரசன் உதயகுமாரனுக்கு மணிமேகலை மீது விருப்பம். 
மணிமேகலையை எப்படியாவது திருமணம் செய்து கொள்ள வேண்டும் என உதயகுமாரன் ஆசைப்பட்டாள். ,மணிமேகலையை எப்படியாவது திருமணம் செய்து கொள்ள வேண்டும் என உதயகுமாரன் ஆசைப்பட்டான். 
மணிமேகலையை காண்பதற்காக சென்றாள் உதயகுமாரன். ,மணிமேகலையை காண்பதற்காக சென்றான் உதயகுமாரன். 
மணிமேகலைக்கோ உதயகுமாரனுக்கு திருமனம் செய்து கொள்ள விருப்பமில்லை.,மணிமேகலைக்கோ உதயகுமாரனை திருமணம் செய்து கொள்ள விருப்பமில்லை.
உதயகுமாரன் தன்னைத் தேடி வருவதையறிந்த மணிமேகலை மறைந்து கொண்டான்.,உதயகுமாரன் தன்னைத் தேடி வருவதையறிந்த மணிமேகலை மறைந்து கொண்டாள்.
இதனால் உதயகுமாரனால் மணிமேகலையின் தோழியான மட்டுமே சுதாமதியை காண முடிந்தது.,இதனால் உதயகுமாரனால் மணிமேகலையின் தோழியான சுதாமதியை மட்டுமே காண முடிந்தது.
